id,source,source_type,language,title,text,gold_label,original_label,notes
11,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- تغريدة منتشرة بشكل كبير جدًا منسوبة للفنان محمد هنيدي، مكتوب فيها: ""فلانتاين ايه اللى عايزين تحتفلوا بيه ده مصر الاولى عالميا في نسب الطلاق والأولى بردو فى معلش نستحمل عشان العيال"".",,fake,
12,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- فيديو منتشر بشكل كبير جدًا لسيدة بتقول إن في حديث عن النبي محمد بيتكلم عن إن لو 15 رمضان وافق يوم جمعة، هتبدأ علامات يوم القيامة في الظهور، وهينزل مذنب على الأرض كل الناس هتحس به وهينتشر غاز الأمونيا لمدة 3 أيام، هيعمل للمسلم زكام وهيفجر دماغ غير المسلمين.",,fake,
13,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
""حزب النور متمسك بالختان لأنه أمر أباحه الله وأباحه الرسول، ليه نجرم أمر أباحه الله ورسوله والعلماء عبر الزمان"" أحمد حمدي- عضو مجلس النواب عن حزب النور- برنامج الحكاية - MBC مصر https://www.youtube.com/watch?v=Ct-esDXtgaw",,fake,
14,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
بوست منتشر بشكل كبير جدًا، بيقول: ""#عاجل الحكومه 26 فبراير هو موعد انتهاء اجازه الفصل الدراسي الاول بعد قرار مد اسبوع اضافي""، ومرفق معه تصميمات من مواقع إخبارية مذكور فيها نفس الكلام.",,fake,
15,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
تزامنًا مع وفاة المشير محمد حسين طنطاوي، انتشر بوست بيحكي ""حقيقة انتخابات الرئاسة عام 2012 في جولة الإعادة بين مرسي وشفيق""، وبينقل البوست على لسان المشير طنطاوي إن الفريق شفيق هو من فاز بالانتخابات بفارق 750 ألف صوت، لكن تم إعلان فوز مرسي خوفًا من الجماعات الإرهابية التي كانت تبعث برسائل تهديد.",,fake,
16,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
""ترتيب الدول (في أعداد السياح) عام 2022…إزاي سوريا اللي الرئيس بيعايرنا طول ليل ونهار بها… تبقى 8.5 مليون سائح وإحنا عندنا…5.25 مليون"".
عماد البحيري - مقدم برنامج ""إيه الحكاية"" - قناة ""الشرق""",,fake,
17,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- صورة منتشرة بشكل كبير جدًا لأنبوب ضخم وسط البحر، مع تعليق بيقول: ""اللحظات الأولى لتشغيل أول خط غاز مصري لتغذية أوروبا""، ومُرفق مع البوست لينك فيديو على يوتيوب.",,fake,
18,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
تغريدة منتشرة بشكل كبير جدًا من حساب باسم الدكتورة ""إلهام فضالي""، بتقول: ""الحمد لله خبر جميل على الصبح النهاردة فوزت بأهم كشف فيزيائي لعام 2021 و تم ترشيحي لجائزة نوبل في الفيزياء"".",,fake,
19,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بشكل كبير، بيقول: ""هو حقيقي من بداية شهر 7 كتب الكتاب المأذون هياخد 15 الف جنيه"".",,fake,
20,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- تصميم منتشر بشكل كبير جدًا، عليه لوجو موقع ""الشروق""، ومكتوب فيه تصريحات منسوبة للبابا تواضروس الثاني، بيقول فيها: ""حزنت على مقتل شيرين أبو عاقلة، وكنت أودّ أن ألقاها في الملكوت، ولكنّها للأسف لن تدخله لأنها أرثوذكسيّة وليست كاثوليكية"".❌❌",,fake,
21,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
قال الإعلامي سيد توكل في برنامج مساء القاهرة المذاع على قناة مكملين: ""الكتاب ده (مذكرات جندي مصري على جبهة قناة السويس) ممنوع من النشر، يعني لو جيت تدور عليه في المكتبات مش هتلاقيه لإنه بيرصد فترة من فترات الصندوق الأسود في تاريخ العسكرية المصرية اللى هى فترة حر الاستنزاف""",,fake,
22,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
""صافي أصول البنوك المصرية بالعملة الصعبة تخطى بالسالب 24 مليار دولار.. هتروح تسحب دولاراتك من البنك مش هتلاقيهم.. لو هتروح تاخد دولاراتك في الغالب هيقول لك خد رقم هزلي بالدولار والباقي خدها بالمصري"" 
عمرو واكد - ممثل مصري",,fake,
23,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
مش عارفين إيه حكاية الناس مع فريق يوفنتوس. من كام يوم بوفون كان الظابط عماد بيه غباشي، والنهارده أليغري بقى الإخواني مسعود الحناوي😂😂
- احنا بنحاول نتجاهل ده ونقول الناس بتهزر لكن لما بنلاقي انتشار كبير للبوستات دي وناس كتير بتصدق للاسف، بنتعامل معاها بجد.😀😀
-صفحة اسمها ""كلنا رجال الشرطة المصرية"" ناشرة صورة بتقول إنها لـ""مسعود الحناوي أحد قيادات جماعة الاخوان الإرهابية وتم القبض عليه النهارده أثناء إحدى العمليات في سيناء وعند القبض عليه شتم الرئيس عبد الفتاح السيسي ورفع شعار رابعة في وجه
الظابط"".❌❌",,fake,
24,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- صورة منتشرة بشكل كبير لطائرة أرضيتها زجاجية، مع تعليق: ""شركة خطوط الطيران العالمية فيرجن تبتكر أول طائرة ذات أرضية زجاجية شفافة لتمكن الركاب من التمتع بمشاهدة فريدة طوال الرحلة"".",,fake,
25,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- نشرت مواقع وصفحات إخبارية عدة خبرًا يفيد بإصابة حارس المنتخب الألماني وفريق بايرن ميونخ، مانويل نوير، بسرطان الجلد و""خضوعه لـ3 عمليات جراحية""، وهو الخبر الذي انتشر بشكل كبير عبر مواقع التواصل الاجتماعي، وفُهم منه إنه إصابة حديثة، وأثار الشكوك حول قدرة نوير على المشاركة في كأس العالم 2022.",,fake,
26,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
نشرت بعض صفحات مواقع التواصل الاجتماعي مقطعًا ادعى ناشروه أنه يصور فردًا من حركة حماس يهدد بتفجير كنيسة في مصر
الفيديو الأصلي المقتطع من سياقه:


#ISIS pledges to kill all Christians in #Egypt new propaganda video.#Christian #Jesus #Church #Copts pic.twitter.com/7z2GYa4T37
— Chris Tomson (@TheDaneChris) February 19, 2017",,fake,
27,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
بوست منتشر بشكل كبير جدًا فيه تصريح منسوب لوزير الدفاع التركي خلوصي أكار بيقول فيه: ""أقول للسيسي الذي يهددنا.. إننا قادرون على احتلال بلاده في 6 ساعات"".",,fake,
28,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
تصميم منتشر بشكل كبير لصفحة ""الجزيرة - مصر""، مكتوب فيه: ""بوتين يهنئ قادة تحالف النيتو بمناسبة اليوم العالمي للمرأة"". ❌❌",,fake,
29,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
بوست منتشر بيقول: #لما_الجزيرة_تبقي_متغاظة - ""وزير الدفاع السوداني المنقلب هو من اب سوداني وأم يهودية اسمها راشيل ليشع من يهود إثيوبيا وتلقى تمويلا من السيسي لعزل البشير وسجنه""..",,fake,
30,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بشكل كبير جدًا، ومعاه مجموعة من الصور لحادث إطلاق نار على سيارة وواضح إن في ضحايا، بيقول: ""مقتل مدرب منتخب جنوب افريقيا بعد عودته من بطولة أمم أفريقيا"".",,fake,
31,fake-real-arabic-news,real,ar,,أعلنت البرتغال رسمي  ا عن وفاة طفل يبلغ 14 عاما  متأثرا  بفايروس كورونا  رغم أنه رياضي  ولم يكن لديه أي ة مشاكل صحية,,fake,
32,fake-real-arabic-news,real,ar,,اوباما الذى راعى الارهاب كاسلافه ممن سبقوه  يضحك مع بلادن الذى صنعه الامريكان وال سى اى ايه وقتلوه لانتهاء مهمته غدر,,fake,
33,fake-real-arabic-news,real,ar,,لماذا عرج بالنبى من  القدس وليس من  مكة   ولماذا يصعد المكوك الفضائى  الروسى من  كازاخستان وليس من  روسيا رغم التكلفة العالية جدا ماديا   أكد الدكتور علي منصور كيالي الباحث و الفيزيائي السوري أن  أبواب_السماء ذات حراسة مشددة لا يستطيع مردة الجن و الشياطين المرور من خلالها   بينما يستطيع رواد الفضاء الولوج من خلالها تسهيلا  من  الحق  سبحانه لعـال ـم الأنس حتى يريهم آياته العظيمة في الآفاق كما أشارت إلى ذلك الآية الكريمة  و أوضح أن السماء ليس فضاء مفتوحا    كما يعتقد البعض و إنما فيها   أبواب   لا يمكن العـروج إلا  من خـلالها,,fake,
34,fake-real-arabic-news,real,ar,,السيسي يعرض على البنك الدولي سداد الديون بضعة ملاين من المواطنين الزائدين عن الحاجة عرض الرئيس المصري عبد الفتاح السيسي على مجلس إدارة مجموعة البنك الد  ولي سداد كافة الديون المتراكمة على مصر منذ سنين طويلة مقابل بضعة ملاين من المواطنين المصرين الزائدين عن حاجته وتشير مصادر مقر  بة من عبد الفتاح إلى أن  ه فك ر بأكثر من حل  مبتكر قبل لجوئه إلى بيع المواطنين  فقطع المواد عن الأسواق ثم رفع أسعارها وباع الج زر وزاد الضرائب لدرجة تأثيرها على مستوى معيشة المسؤولين  كما عرض نفسه لبيع ولكن أحدا  لم يشتره وبعد تفكير عميق اكتشف أن   الوسيلة الأمثل لتخلص من الديون إلى الأبد تكمن في نور عينيه  فهم ثروة مصر الحقيقي  ة  ولديه الكثير منهم  فلا يخشى خطر انقراضهم في المدى المنظور  من جهته  أك  د عبد أنه لم يكن ليبيع مواطنيه لولا الظروف الصعبة التي تعيشها أم   الدنيا  إذ لا زلنا بحاجتهم لعمل كحراس وخدم وسائقين ومزارعين وعم ال في منشآت الجيش  فضلا  عن دورهم الهام في الأجهزة الأمني ة والمخابرات والنخاسة  إلا أن   إلحاح موظفي البنك الدولي بالس  داد أجبرنا على استخدام الأيدي العاملة كعملة بدلا  من الأوراق النقدية إلى أن تفرج الأزمة  كما عرض عبد على البنك الدولي عد ة ط رق  لاستفادة من المواطنين  يمكن الاحتفاط بهم كرهائن ريثما نتمك ن من سداد الديون  إن شاء اله  أو تصديرهم حول العالم وتشغيلهم كعبيد  وافدين  أو حتى فرطهم وبيع كلاويهم وقرنياتهم وعظامهم وأوردتهم وشراينهم وقلوبهم ونخاعاتهم وأمعائهم الغليظة والدقيقة كقطع غيار وهي أمور لا تعارض مع حقوق الإنسان المصري لأنا هيأناه لتقب ل مثل هذه الأشياء  وأضاف  نحن سعداء بتقديم عروض  منافسة لأحبائنا في البنك الدولي  مثل مقايضة كل مئة دولار بخمسة أو ستة مواطنين مع ح زمة من الم عارضين  والمثلين مجانا    تحملنا كاف ة مصاريف الشحن إن قبلوا أخذ س كان م حافظة كاملة  أما عرض الإخوان المسلمين  فيشمل دفع مبالغ مالي ة لبنك مقابل تخليصنا منهم   يبقى العرض ساريا  حتى وفاة الم عارضين أو إعدامهم,,fake,
35,fake-real-arabic-news,real,ar,,الحكومة تمو ل أبحاثا  لمكافحة علاج الألزهايمر لتساعد المواطنين على نسيان همومهم سامر عسفيكة   مراسل كشف مصدر  رسمي   رفيع  مجازا  وثخين  على أرض الواقع عن خطة حكومي  ة لتمويل أبحاث طبية تهدف إلى مكافحة علاج مرض الألزهايمر  سعيا  منها لم ساعدة أكبر قدر من المواطنين على نسيان همومهم واقعهم بواسطة هذا المرض الحميد وقال المصدر إن   نسيان المواطنين حق هم في امتلاك حد   أدنى من العيش الكريم سيمنح الحكومة فرصة خفض الإنفاق الحكومي على الخدمات العام ة والبنى التحتي ة المتردية  وتركيز الإنفاق الحكومي على ملف ات أكثر أهمية  مثل أعضاء الحكومة المبج لين وأك د المصدر أن   وقف علاج المرض سيدعم قدرة المواطنين على عدم تذكر حقوقهم وظروفهم المعيشية البائسة  والتي تدفعهم عادة لقيام بتصرفات طائشة كالمظاهرات والاحتجاجات لمطالبة بها  وهو ما سيزيل عن ا عبء قمعهم والتنكيل بهم لمساعدتهم على النسيان  وعن الجوانب المدم رة التي قد تعود من تفشي الألزهايمر  يوضح المصدر  من المكن أن ينسى المواطنون اسم القائد المفد ى  لا سمح اله  أو إنجازاته و مآثره  وهو أثر جانبي بسيط لا يقارن بالفوائد المتحقة  ومن السهل علاجه بث خطابات القائد على التلفاز ورفع صوره في كل مكان وعقد جلسات توعوية لتذكير به,,fake,
36,fake-real-arabic-news,real,ar,,الولايات المتحدة تقصف الجيش السوري لاختبار مدى التزامهم بالهدنة شن  الأمريكان والتحالف الدولي هجوما  على مواقع خاضعة لسيطرة النظام السوري  لقياس مدى التزامهم بالهدنة وقدرتهم على الصبر وضبط النفس وكانت الولايات المتحدة وروسيا قد خاضتا  منذ بداية الثورة السورية  معارك دبلوماسية شرسة وعنيفة  إلى أن توص لتا أخيرا  إلى هدنة مؤق تة لنصف ساعة  قابلة لتمديد إلى حين الاتفاق على الجهة الأجدر بالدعم والجهة التي تستحق الموت ويقول الناطق الرسمي باسم الخارجية الأمريكية إن  هذا الهجوم لا يعدو عن كونه نيرانا  صديقة  فنحن بحاجة لشركاء سلام حقيقين  ومن شأن هذه الضربات كشف معدن شركائنا ومدى تمس كهم بمساعينا السلمي ة  لم نقتل سوى ستين جنديا  وذلك شيء طبيعي في حالة الحرب  فالسلام  كما نعرف  ليس بالمج ان  وأضاف  نحن نساعد الإرهابين على التمد والانتشار في كل مكان  لنتمك ن من ضربهم لاحقا  دون أن يعيقنا الجيش والمعارضة والمدنيون  فكونا نواجه صعوبات في تميز الجماعات  غير الإرهابية  عن  الجماعات الإرهابية   لأن أفضل طريقة لإنهاء الحرب هي القضاء عليهم جميعا   وعندما ينتهي كل شيء  سنبني الحدائق والمدارس ورياض الأطفال لتبدأ الحياة من جديد  من جانبه  أك د الناطق باسم الرئاسة السورية أن هم ملتزمون بالهدنة وقف إطلاق النار  إل ا أنهم لن يحتفظوا بحق الرد لحفاظ على الهدنة  وسيعطونه لروس هذه المر ة ليتمك نوا من القيام بما يلزم في حلب وغيرها من مواقع المعارضة,,fake,
37,fake-real-arabic-news,real,ar,,عاجل من القناة الصينية الاولى دخول 20 مليون صيني في الدين الاسلامي بعد أن ثبت أن وباء كورونا لا يصيب المسلمين,,fake,
38,fake-real-arabic-news,real,ar,,والد  يلعن شرفي إن كنت أعلم من أين تعل م ابني القو اد كلماته البذيئة نفى الأب  سميح الدعبر  لمدير المدرسة التي يزورها ابنه  رزين الدعبر  أي علم  له بمصدر الكلمات البذيئة التي ينطق بها ابنه القواد  مؤك د ا أن ه عمل جاهدا  على تربيته على الأخلاق الحميدة  بل أنه كان يفضح عرضه شخصيا  حين يسمعه يتفو ه بكلمات نابية ويقول الأب  لا أعلم من ابن القحبة المخصي قليل الشرف الذي شو ه أخلاق ابني وعل مه تلك الكلمات النابية  واله لو عرفته سأتعرص له في الشارع أمام الجميع  وأسمعه كلاما  يليق بأمه العاهرة التي فشلت في تربيته  ويعتقد سميح أن مسؤولية الخل قد تعود على زوجته  كان عليها أن تراقب ابنها الخنزير خلال غيابي عن المنزل  فلا تدعه يخرج مع أولاد الوسخة من أبناء جيرانه عديمي الأخلاق مثلها  لكنها مشغولة بمشاركة جاراتها المومسات حفلات النميمة  ولا تعبأ بتربية ابنها وكأنه ابن زنا أنجبته سفاحا  من مارسة الرذيلة مع بائع الغاز  ويضيف  نبهتها ألف مرة على المسؤولية الملقاة على عاتقها  وأنها كالمدرسة تعد شعبا  طيب الأعراق  أما إن تصرفت كالقحبة وتخلت عن مسؤولياتها  فإنها ستعد جيلا  من القوادين الذين سيخزونا أمام الناس  عموما   لن أترك تلك العاهرة تفسد الولد بأخلاقها المنحط ة  وسأتولى مسؤولية تربيته بنفسي  وسأضربه بالحذاء على قفاه إن لم يصبح ذلك الكلب ابن الكلبة مهذ با    من جانبه  نفى الولد ما أشيع عن فساد أخلاقه  كل ما قيل لأبي هو محض افتراء  وأتحدى أيا  من الديوثين أن يثبت العكس  خصوصا  مدير المدرسة الذي يكرهني لما فعلته مع ابنته عندما واعدتها خلف سور مدرستها أخلاقي رفيعة كأخلاق أبي  ولعنة اله على جد تي إن كنت أكذب,,fake,
39,fake-real-arabic-news,real,ar,,شبيح يناشد النظام استعمال الكلور في الغوطة الشرقي ة لتنظيفها وجعلها ناصعة البياض ناشد الشبيح رفيق المفتولي قوات نظامه بإضافة كميات من غاز الكلور أثناء إجراء عمليات تطهير الغوطة الشرقي ة من الإرهابين  لضمان تنظيفها بشكل  جي د وإزالة الشوائب عنها وجعلها ناصعة البياض وقال رفيق إن  تلك المنطقة تعد  من أكثر بؤر الصراع التي استعصت على الزوال  رغم أن القائد جر ب عليها جميع الأساليب التقليدي ة  مثل رش ها بالقذائف والصواريخ وغمرها بالبراميل المتفج رة والمدفعي ة ودعكها بالغارات الجوي ة والقنابل العنقودي ة مرات  عديدة  إلا أنها بقيت ملوثة بالمسل حين وأعوانهم المدنين  الأمر الذي أحرجنا أمام العالم وأظهر رئيسنا وكأنه م قص ر  بالاهتمام بنظافة المناطق الم تاخمة لعاصمته  وأبدى رفيق ثقته بأن استخدام الكلور سي حق ق النتائج التي يتمناها رب  الأسرة السوري ة  سيادة الرئيس بشار الأسد  فقد أثبت الكلور نجاعته ليس فقط في غسيل الملابس والأثواب  بل وفي حسم العديد من الحروب والمعارك كالحرب العالمي ة الأولى والحرب العراقي ة الإيراني ة وفي قصف بلدة حلبجة  رغم اتساع ب قع الصراع في تلك الأماكن  كما أك د رفيق أن لكلور فوائد لا تواجد بالأسلحة التقليدي ة  فهو رخيص وسهل الاستعمال ومتوف ر بسهولة ولا يتأث ر بقرارات حظر الأسلحة وعلى عكس الأسلحة التقليدي ة التي ت دم ر ك ل شيء في طريقها  ي حافظ على سلامة الأبنية والبنية التحتي ة من شوارع وجسور وأنفاق لي عاد استخدامها م جد دا  وهي نظيفة وجميلة وخالية من البشر الذين كانوا يلوثونها,,fake,
40,fake-real-arabic-news,real,ar,,مقال في الصحافة الفرنسية   لا خوف على المنقبات لأن هن الأقل ع رضة لفيروس كورونا   حيث أنهن  لا يتبادلن الق بل للتحية أو يصافحون بالأيدي أو الأحضان ويلبسون القفازات   وفوق ذلك كل جسدهن مستور و نظيفة بالوضوء المستمر   وهي النصائح التي أطلقتها المتخصصون لتفادي العدوى  الحمد لله على نعمة الاسلام,,fake,
41,fake-real-arabic-news,real,ar,,أهالي قرية  البلينا  في سوهاج يلقون ميكروباصا  مدني  ا في النهر  كان ينقل عددا  من عناصر الشرطة المصرية إلى محافظة الأقصر,,fake,
42,fake-real-arabic-news,real,ar,,فريق من علماء الفضاء السعودين ي نزلون أول مركبة فضائية على كوكب الأرض قام فريق من علماء الفضاء السعودين صباح اليوم  بإنزال أول مركبة فضائية على أحد كواكب المجموعة الشمسية  والمعروف بكوكب  الأرض  وز و دت المركبة بأربع عجلات مستديرة الشكل  تمك نها من السير على أرض الكوكب  إضافة  إلى ألواح عازلة من مادة الزجاج  تمك ن الرك اب من رؤية ما حولهم دون الحاجة لمغادرتها ويبعد الكوكب نحو ألف سنة ضوئية عن مركز مجرة درب التبانة  ويمتاز بتسارع جاذبية مقداره   متر في الثانية  وبتوف ره على طبق الكبس ة وكمي ات من النفط ويرى مراقبون  أن هذا الإنجاز ما كان ليرى النور لولا مشيئة العلماء الأمريكان  الذين قاموا بتزويد الفريق بسيارة هامر لإنزالها على شوارع وصحاري الكوكب لكن الشيخ العر يفي   أحد العلماء الشيوخ المسؤولين عن هذه الرحلة  أك د بالمقابل أنه وعلى الرغم من أن مشيئة العلماء الأمريكان كانت ضرورية لتحصيل المركبة   إل ا أن مشيئة اله هي التي فرضت أن تكون مشيئة العلماء الأمريكان كذلك  وبالتالي ما زلنا رابحين في معركتنا مع الكفر والكف ار  وتمك ن العلماء الشيوخ السعوديون في فترة زمنية قياسية ب عيد الإنزال  من تحديد اتجاه القبلة على الكوكب  عن طريق استخدام البوصلة  وباتوا الآن قادرين على توفير مجموعة واسعة من التعليمات والفتاوى  التي تعلق بالجنس والطعام والشراب وأصول التيم م على الكوكب في حين ما زال الغرب عالقا  بقضايا الانحلال الأسري وتفك المجتمع  ومحاولاته العبثية لمعرفة أصل الكون والوجود ويأتي هذا الإنجاز  بعد أيام قليلة من قيام الفريق الأوروبي بالهبوط بنجاح على متن المذنب  الذي لا يبعد سوى بضعة مليارات الكيلومترات عن الأرض  الأمر الذي أك د العريفي على هامشي ته وما زال الغرب يحاول الحاق بالإنجازات السعودية المتابعة  كالس ماح لمرأة بقيادة المركبات على كوكب الأرض  والقدرة على استخراج وبيع النفط الخام  باستخدام الماكينات الأمريكية والعم ال الوافدين كأسلوب حياة     الشيخ العال م العريفي  أحد أهم شيوخ القرن الواحد والعشرين  يمتاز بلحية جذ ابة  مك نته من ركوب موجة الشهرة بعد حصوله على لقب ملك جمال الشيوخ ويشتهر العريفي بنشاطه على مواقع التواصل الإجتماعي  ومواقفه الحاسمة والقاطعة تجاه الغرب الكافر والشيعة والمسيحين والملحدين والمرأة وغير المسلمين  من سكان غرب آسيا ومجمل أفريقيا,,fake,
43,fake-real-arabic-news,real,ar,,هل تعلم ان العقرب هو حيوان لا يلد ولا يبيض  فكيف يتكاثر هذا الحيوان    تذهب انثى العقرب في مكانآ ما وحدها  ثم يحدث انفجار لظهرها   ويخرج الصغار من الظهر  تموت الام ويأكلون الصغار الام بعد موتها   هل تعلم ان العقرب إذا حاتطه النار يلدغ نفسه حتي الموت فقط قل  سبحان الله,,fake,
44,fake-real-arabic-news,real,ar,,هل تجوز الصلاة بعد شرب البيبسي     لا تستغرب السؤال اقرأ  ستقام عليكم الحجة إذا لم توضحوا ذلك للمسلمين  لن أشرب بيبسي بعد اليوم    حسبنا الله و نعم الوكيل أحذروا يا مسلمين أرجوكم أنشروا لأن الموضوع خطير جدا هل تجوز الصلاة بعد شرب البيبسي     هل نجح الأمريكيون بالفعل في أن يضحكوا على ٢ مليار مسلم وعربي   وجعلوهم يشربوا طوال السنين مشروباتهم الغازية المصنعة من أمعاء الخنزير    سؤال يطرح نفسه بقوة و يحتاج الى إجابة      حيث أن مجمع البحوث الإسلامية أرسل عينات من المياة الغازية   البيبسي كوكاكولا   لتحليل مادة البيبسين الأساسيه في تركيبها لمعرفة تركيب تلك المياة الغازية   المرة الأولى التي أثير فيها الموضوع كان في الخمسينات حين تبنى الفتوى حزب مصر    احمد حسين  التي صرح بها حول تحريم البيبسي والكوكاكولا   لاحتوائها على مادة البيبسين التي تستخرج من أمعاء الخنزير وأدى ذلك الى كساد اقتصادي هائل للشركة المنتجه وفرعها في مصر بعد إحجام الشعب عن الشراء   ويقول د  الشكعة أنه بغض  النظر عن المطالبة بالمقاطعة للمنتجات الأمريكية والصهيونية فإن الوقت قد حان لتحليل البيبسي في معامل خاصة ومتعددة مع ضمان سرية أسمائها حتى لا تتدخل يد الرشاوي والتسهيلات للعب بنتائج التحليل      وذكر د  الشكعة أنه عاش في امريكا 6 سنوات عرف خلالها   أن مادة البيبسين تستخرج من أمعاء الخنزير   لتساعد من يشربون المشروب على الهضم     أكثر من ٢مليار مسلم يتناولون الخنزير وقد تكون أنت واحد منهم   إن تحريم الإسلام لتناول لحم وشحم الخنزير يعد إعجازا علميا سابقا لعصره     فناهيك عن أن هذا الحيوان الخسيس يأكل النجاسات      وأنه أكثر الحيوانات دياثة حيث يرى أنثاه تنكح أمامه ولا يتحرك ولا يغار     فأمعائه النجسة موادا تعمل على انتشار سرطان القولون والمستقيم والبروستاتا والرحم والمرارة والثدي والبنكرياس       وما خفي كان أعظم     إلى أي مدى تعد مواد البيبسي العالية التركيز     ضارة      حيث تم رسم علامة المواد الحارقة على البرميل         وحسبنا الله ونعم الوكيل,,fake,
